image_name,image_path,retrieved_captions,retrieved_scores,raw_rag,answer_rag,raw_no_rag,answer_no_rag
3202798691.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3202798691.jpg,"[' A man rides a bike on a dirt path .', ' A man biking through the wilderness .', ' A boy dressed in a red t-shirt and blue shorts is standing on a dirt road .', ' This young lady with her white polka dot blouse is about to take a stroll on her bike in a foreign country .', ' A small child rides a bicycle on the side of a road .']","[0.3402847945690155, 0.334036648273468, 0.3295845091342926, 0.3260484039783478, 0.3240143656730652]",A man rides a bike on a dirt path.,A man rides a bike on a dirt path.,A man rides a bicycle down a dirt road with a mountain in the background.,A man rides a bicycle down a dirt road with a mountain in the background.
4888378326.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4888378326.jpg,"[' A group of friends seated on concrete waiting for something .', ' A group of men are passing time sitting on the ledges of a building .', ' A group of men sitting on the roof of a building .', ' Three photographers are lined up on tile .', ' People sit and talk on the ledge of stone public building']","[0.38841867446899414, 0.34602299332618713, 0.3429263234138489, 0.34187448024749756, 0.33925434947013855]",A group of men are sitting on the ledges of a building.,A group of men are sitting on the ledges of a building.,A group of people sitting on steps looking at a man walking by.,A group of people sitting on steps looking at a man walking by.
4196910882.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4196910882.jpg,"[' A band is playing on stage with the guy on the left playing a red and white guitar .', ' Two men are on stage playing guitars while a third man wearing a baseball hat sings into a microphone .', ' Two men are playing their guitars and singing on stage .', ' There are two men on a stage with guitars greeting each other .', ' Two men , both playing guitars , and one is singing into a microphone .']","[0.3466407060623169, 0.3399950861930847, 0.3384399116039276, 0.33809372782707214, 0.337726354598999]",Two men are playing their guitars and singing on stage.,Two men are playing their guitars and singing on stage.,Two men playing guitars on a stage with one wearing a red cap.,Two men playing guitars on a stage with one wearing a red cap.
2437917174.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2437917174.jpg,"[' A young woman is at her desk working on what appears to be a drawing assignment .', ' A young student doing her math homework .', ' A woman smiling while writing something on an envelope .', ' A young lady looks through a microscope focusing on a specimen .', ' A professional woman wearing a tan uniform as she looks up and smiles while having a high tech microscope in front of her .']","[0.3313107490539551, 0.31625914573669434, 0.31296393275260925, 0.3101004660129547, 0.30701732635498047]",A young woman is at her desk writing on a piece of paper.,A young woman is at her desk writing on a piece of paper.,A woman is writing on a piece of paper while sitting at a desk.,A woman is writing on a piece of paper while sitting at a desk.
3246788996.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3246788996.jpg,"[' A group of people pointing and looking at something off-camera .', ' A band is jamming out to the music .', ' People dancing inside a room where there is a small concert happening .', ' A group of young people are watching a band perform .', ' People calmly and intently waiting for the band to begin .']","[0.3177132308483124, 0.3125268816947937, 0.30925455689430237, 0.30603593587875366, 0.3046994209289551]",A group of people pointing and looking at something off-camera.,A group of people pointing and looking at something off-camera.,A group of people are standing in a room with a large screen and monitors in the background.,A group of people are standing in a room with a large screen and monitors in the background.
1507563902.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/1507563902.jpg,"[' This child is jumping on a large trampoline .', ' A boy bounces on a trampoline .', ' a man bouncing on trampoline .', ' A boy bouncing on a trampoline .', ' A shirtless man doing a flip while jumping on a trampoline with a tent in the background .']","[0.3435939848423004, 0.3433297276496887, 0.34103646874427795, 0.33495739102363586, 0.3270525336265564]",A shirtless man doing a flip while jumping on a trampoline with a tent in the background.,A shirtless man doing a flip while jumping on a trampoline with a tent in the background.,A person doing a handstand on a trampoline.,A person doing a handstand on a trampoline.
4756096577.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4756096577.jpg,"[' A man wearing a sleeveless shirt riding a moped .', ' An Asian person is sitting in the street on a motorbike .', ' A Asian man takes a ride on his motorcycle on a brick roadway .', ' A man on a moped is driving through the streets of his town .', ' An Asian man with a blue shirt and brown pants rides a motorcycle .']","[0.3551996946334839, 0.34770408272743225, 0.3373696506023407, 0.3349168002605438, 0.33375251293182373]",An Asian man with a blue shirt and brown pants rides a motorcycle.,An Asian man with a blue shirt and brown pants rides a motorcycle.,A man in a blue shirt is riding a motorcycle down a street.,A man in a blue shirt is riding a motorcycle down a street.
2705888144.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2705888144.jpg,"[' A man in a white shirt dunks a basketball when a small crowd looks on .', ' Young man in blue shorts about to perform a slam dunk .', ' A man jumps up towards the basketball hoop as others watch .', ' Two young men play basketball while crowd looks on', ' A slam dunk performed at a basketball game .']","[0.35725072026252747, 0.3525584936141968, 0.33653196692466736, 0.3313172161579132, 0.33100298047065735]",A man jumps up towards the basketball hoop as others watch.,A man jumps up towards the basketball hoop as others watch.,A man jumps in the air to dunk a basketball in front of a crowd.,A man jumps in the air to dunk a basketball in front of a crowd.
4636627093.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4636627093.jpg,"[' A man is examining a bicycle tire while a group of 4 people watch him .', ' A curly-haired man in a blue t-shirt is fixing his red bicycle , which is upside down on the sidewalk , with a friend wearing a black watch .', ' A man works on the rear tire of a bike while a baby looks on from behind the bike .', ' Two people outside examining a bicycle tire .', ' One person repairing a bicycle while two others look on .']","[0.32356053590774536, 0.317579060792923, 0.3166709840297699, 0.31573373079299927, 0.31393346190452576]",A man is examining a bicycle tire while a group of 4 people watch him.,A man is examining a bicycle tire while a group of 4 people watch him.,A man in a white shirt is fixing a bicycle in front of a building that says JRT Plaza Gar,A man in a white shirt is fixing a bicycle in front of a building that says JRT Plaza Gar
9726060.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/9726060.jpg,"[' Two children , one male and one female are practicing outdoor rock climbing .', ' Two people are climbing and outdoor artificial climbing wall .', ' A boy with a red shirt climbs a large rock while a man with a red shirt helps him .', ' Two men are climbing on an interestingly shaped rock feature .', ' a climber in a red shirt is scaling a rock face whilst being watched by another man in a white shirt .']","[0.35676804184913635, 0.35316166281700134, 0.3318355083465576, 0.3222426474094391, 0.3182138502597809]","Two children, one male and one female, are practicing outdoor rock climbing.","Two children, one male and one female, are practicing outdoor rock climbing.",Two children climbing on a rock wall outside of a cafe.,Two children climbing on a rock wall outside of a cafe.
