image_name,image_path,retrieved_captions,retrieved_scores,raw_rag,answer_rag,raw_no_rag,answer_no_rag
000000328238.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000328238.jpg,"['A guy gets ready to throw a Frisbee during a game.', 'A man holding a frisbee prepares to throw it.', 'A young man participates in a Frisbee game.', 'A man gets ready to throw a frisbee in a park.', 'A man getting ready to throw a Frisbee on a field.']","[0.38285431265830994, 0.3726266920566559, 0.3721703886985779, 0.36832883954048157, 0.36732661724090576]",A man holding a frisbee prepares to throw it.,A man holding a frisbee prepares to throw it.,A man in a blue shirt and white hat is throwing a frisbee in a park.,A man in a blue shirt and white hat is throwing a frisbee in a park.
000000074256.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000074256.jpg,"['Elderly women debark a bus at a station. ', 'A woman sitting on a bench and a woman standing behind the bench at a bus stop', 'Two people about to get on-board a bus. ', 'A woman and another woman waiting at a stop.', 'A woman sitting on a bench and a woman standing waiting for the bus.']","[0.3621743619441986, 0.3537268340587616, 0.33121708035469055, 0.32981422543525696, 0.3282581865787506]",Two women are standing at a bus stop waiting to board the bus.,Two women are standing at a bus stop waiting to board the bus.,Two women standing at a train station looking at their phones.,Two women standing at a train station looking at their phones.
000000022192.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000022192.jpg,"['A dog sitting on a bed covered with clothing, blankets and other items.', 'A pit bull dog on a messy bed. ', 'A dog sitting in a pile of bedding and other stuff.', 'A dog sits on top of a mess of items.', 'A dog is sitting on an unmade bed with pillows.']","[0.366780549287796, 0.35598838329315186, 0.35006609559059143, 0.31532201170921326, 0.3035537302494049]","A dog sitting on a bed covered with clothing, blankets and other items.","A dog sitting on a bed covered with clothing, blankets and other items.",A dog sitting on a messy bed.,A dog sitting on a messy bed.
000000531495.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000531495.jpg,"['Looking out over a bay with many tourist boats moored', 'A harbor with several boats floating in it.', 'Boats docked at a harbor facing the city.', 'Sailboats docked at the pier of a town marina.', 'A pier with various boats and ships parked. ']","[0.294355183839798, 0.29095879197120667, 0.28222382068634033, 0.28183260560035706, 0.2798803448677063]",A harbor with several boats floating in it.,A harbor with several boats floating in it.,A view of a harbor with boats docked and buildings in the background.,A view of a harbor with boats docked and buildings in the background.
000000236426.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000236426.jpg,"['A white-clad tennis player hurls a ball upward to deliver a serve.', 'a man plays tennis in front of a large audience', 'A man in a white tennis outfit hitting a tennis ball. ', 'A man playing a tennis game in front of a crowd.', 'Tennis player and white outfit swinging his racket on the court. ']","[0.32634979486465454, 0.3248714506626129, 0.32469749450683594, 0.318587064743042, 0.3168438673019409]",A man in a white tennis outfit swinging his racket on the court.,A man in a white tennis outfit swinging his racket on the court.,A tennis player in white is jumping to hit a ball on a purple court.,A tennis player in white is jumping to hit a ball on a purple court.
000000161008.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000161008.jpg,"['An open pair of scissors sitting on a wooden box.', 'A big pair of scissors is on a wooden box.', 'A pair of scissors sitting on top of a wooden box.', 'Some scrap book scissors are on a brown table.', ' A pair of black scissors sitting on a role of tape.']","[0.36031389236450195, 0.35569053888320923, 0.35272789001464844, 0.3472406566143036, 0.34694454073905945]",An open pair of scissors is sitting on a wooden box.,An open pair of scissors is sitting on a wooden box.,A pair of scissors is stuck in a wooden box.,A pair of scissors is stuck in a wooden box.
000000423519.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000423519.jpg,"['a public transit bus on a city street ', 'a public transit bus on a city street', 'a public transit bus on a city street', 'a public transit bus on a city street', 'a public transit bus on a city street']","[0.3355812430381775, 0.3355812430381775, 0.3355812430381775, 0.3355812430381775, 0.3355812430381775]",A public transit bus is parked on the side of the road.,A public transit bus is parked on the side of the road.,A bus with the words Alaska Junction on the front is parked on the side of the road.,A bus with the words Alaska Junction on the front is parked on the side of the road.
000000572303.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000572303.jpg,"['A train car with art painted on its side ', 'This train car has letters and numbers on it.', 'Old rusted transit train cars sit on the tracks. ', 'A train with mirrors on the outside sits on some tracks.', 'Shadows are cast onto the side of a train because of the sun.']","[0.3358236849308014, 0.3352365493774414, 0.3341713845729828, 0.3336978554725647, 0.3293755054473877]",A train with mirrors on the outside sits on some tracks.,A train with mirrors on the outside sits on some tracks.,A train with a yellowish tint is on the tracks.,A train with a yellowish tint is on the tracks.
000000161781.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000161781.jpg,"['The skier is happy to have won the race.', 'The skiier easily and skillfully jumps the small mogul.', 'A skier races down the track at a competition.', 'A person on skis standing behind a starting gate.', 'A person riding skis down a hill on a race course.']","[0.29126793146133423, 0.28303319215774536, 0.28112199902534485, 0.2771111726760864, 0.27386659383773804]",A skier races down a snowy slope at a competition.,A skier races down a snowy slope at a competition.,A person wearing a helmet and holding two poles is skiing down a snowy slope.,A person wearing a helmet and holding two poles is skiing down a snowy slope.
000000198915.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000198915.jpg,"['This is an intersection sign between green lake drive and one other', 'A view of a sign that leads to Brooklyn and Queens.', 'A green street sign sitting on top of a pole.', 'A green road sign showing the Queens Bronx exit.', 'A green pole with street signs attached to it.']","[0.36958208680152893, 0.32074493169784546, 0.3115393817424774, 0.31006866693496704, 0.3099318742752075]",A green street sign for E Green Lake Dr N is attached to a pole with a no parking sign below it.,A green street sign for E Green Lake Dr N is attached to a pole with a no parking sign below it.,A street sign for E Green Lake Dr N is shown with a No Parking sign below it.,A street sign for E Green Lake Dr N is shown with a No Parking sign below it.
