image_name,image_path,retrieved_captions,retrieved_scores,retrieved_image_names,hit@1,hit@5,hit@10,raw_phi,answer_phi,raw_llava,answer_llava
3202798691.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3202798691.jpg,"[' One man in the distance on a bicycle .', ' A person wearing red rides a bicycle over a dirt path .', ' A man in a white shirt on a bicycle with a Coca Cola crate on the back rides down a red dirt road .', ' An African child has one foot on the pedal of his bicycle , stopping to look to his left .', ' A bike rider on his side on a dirt road with people watching .']","[0.357150673866272, 0.3559662699699402, 0.3517334461212158, 0.3511207401752472, 0.3468376100063324]","['7357208586.jpg', '3090398639.jpg', '3202798691.jpg', '5148259688.jpg', '5075763701.jpg']",0,1,1,A man in a white shirt on a bicycle with a Coca Cola crate on the back rides,A man in a white shirt on a bicycle with a Coca Cola crate on the back rides,A man riding a bike with a Coca Cola crate on the back.,A man riding a bike with a Coca Cola crate on the back.
4888378326.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4888378326.jpg,"[' A group of friends seated on concrete waiting for something .', ' The four young men are sitting on the low wall .', ' Group of people on the rooftop of a building looking down .', ' A small group of people looking out over the rail of a parking garage .', ' There are lots of people sitting down and walking around on concrete .']","[0.38841867446899414, 0.37977102398872375, 0.3666471540927887, 0.3641359210014343, 0.3610168695449829]","['137431115.jpg', '301582255.jpg', '67210694.jpg', '2686452246.jpg', '4185776966.jpg']",0,0,0,A group of friends seated on concrete waiting for something.,A group of friends seated on concrete waiting for something.,A group of people sitting on a concrete wall.,A group of people sitting on a concrete wall.
4196910882.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4196910882.jpg,"[' Two men with guitars singing and playing their guitars in a darkened venue .', ' Band playing in a dark room , with the center member singing and playing a red guitar ; keyboardist behind him to the left with another guitar player on the right .', ' At a rock concert a man dressed in black and white pants and a checked hat plays his red guitar while another man sings .', ' three musicians on a stage , two are guitarists , and one is wearing a hat , black striped pants , strumming a red electric guitar , and the other guitarist is strumming a white guitar while the other musician is wearing blue jeans and a black t-shirt and singing .', ' Three men are playing guitars , singing , and dancing on a stage in a club setting .']","[0.36189359426498413, 0.35566991567611694, 0.3517214357852936, 0.3501266539096832, 0.34919995069503784]","['2351694146.jpg', '5338988058.jpg', '7438195398.jpg', '7438195398.jpg', '3232734391.jpg']",0,0,0,Two men with guitars singing and playing their guitars in a darkened venue.,Two men with guitars singing and playing their guitars in a darkened venue.,"Three men are playing guitars, singing, and dancing on a stage in a club setting.","Three men are playing guitars, singing, and dancing on a stage in a club setting."
2437917174.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2437917174.jpg,"[' An ethnic woman smiling while writing at a desk .', ' An African-American woman filling out papers .', ' A dark-skinned woman , wearing a black and white top with a brown fur-lined collar , arranges brochures and other papers on a table .', ' A young woman is at her desk working on what appears to be a drawing assignment .', ' An African-american woman looking into a microscope with a pictures of micro-organisms on her desk .']","[0.3485769033432007, 0.336421400308609, 0.3353547751903534, 0.3313107490539551, 0.3257257640361786]","['2437917174.jpg', '2437917174.jpg', '3726935024.jpg', '244344740.jpg', '4567208443.jpg']",1,1,1,An ethnic woman smiling while writing at a desk.,An ethnic woman smiling while writing at a desk.,A woman with a ponytail is smiling while writing.,A woman with a ponytail is smiling while writing.
3246788996.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3246788996.jpg,"[' Pleople at a party , their backs to the camera .', ' A group of people are facing away from the camera .', ' A group of people clap and take pictures of an unseen subject .', ' Small group of people putting on some kind of a performance .', ' A group of people looking of in different directions trying to avoid the camera .']","[0.3339836299419403, 0.32579919695854187, 0.32554471492767334, 0.3205207884311676, 0.31951242685317993]","['3336759846.jpg', '3114944484.jpg', '3475092236.jpg', '4553464209.jpg', '74641706.jpg']",0,0,0,A group of people are facing away from the camera.,A group of people are facing away from the camera.,A group of people are facing away from the camera.,A group of people are facing away from the camera.
1507563902.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/1507563902.jpg,"[' A young boy doing a flip on a trampoline', ' A long-haired guy doing a backflip on the trampoline .', ' A shirtless young man wearing worn-out jeans and socks does a back flip on the trampoline .', ' a man back flipping on trampoline', ' This is a young man jumping midair on a trampoline .']","[0.3603131175041199, 0.354890912771225, 0.3517073690891266, 0.35100358724594116, 0.3491671681404114]","['2513923598.jpg', '2831891201.jpg', '2831891201.jpg', '2831891201.jpg', '2513923598.jpg']",0,0,0,A young man wearing worn-out jeans and socks does a back flip on the trampoline.,A young man wearing worn-out jeans and socks does a back flip on the trampoline.,A boy doing a backflip on a trampoline.,A boy doing a backflip on a trampoline.
4756096577.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4756096577.jpg,"[' An Asian man , wearing a helmet , sits on his moped waiting for the light to change .', ' A man riding on a motorcycle sideways in Japan .', ' A man wearing a sleeveless shirt riding a moped .', ' The shirtless man is sitting on his motor scooter .', ' Man driving a moped with a side care with a jeepney in the background .']","[0.37187138199806213, 0.3572140336036682, 0.3551996946334839, 0.35140475630760193, 0.35023415088653564]","['4756096577.jpg', '4479254009.jpg', '4972635204.jpg', '4893597664.jpg', '3410629379.jpg']",1,1,1,An Asian man wearing a helmet sits on his moped waiting for the light to change.,An Asian man wearing a helmet sits on his moped waiting for the light to change.,A man wearing a helmet sits on his moped waiting for the light to change.,A man wearing a helmet sits on his moped waiting for the light to change.
2705888144.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2705888144.jpg,"[' A man in blue shorts jumps up to dunk a basketball while a crowd looks on .', ' A basketball player slam dunking the basketball during a game as the crowd and players watch .', ' One basketball player is dunking a basketball rim in midair in front of a small crowd of spectators .', ' A man dunks a basketball in front of a crowd .', ' A man in a white shirt dunks a basketball when a small crowd looks on .']","[0.3781352639198303, 0.3690935969352722, 0.36772847175598145, 0.3624301552772522, 0.35725072026252747]","['2705888144.jpg', '7026785077.jpg', '7643054168.jpg', '2705888144.jpg', '7643054168.jpg']",1,1,1,A man in blue shorts jumps up to dunk a basketball while a crowd looks on.,A man in blue shorts jumps up to dunk a basketball while a crowd looks on.,A man in blue shorts jumps up to dunk a basketball while a crowd looks on.,A man in blue shorts jumps up to dunk a basketball while a crowd looks on.
4636627093.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4636627093.jpg,"[' One woman wearing a black shirt , black pants and white dirty white shoes surrounded by bicycles with a helmet on the ground appears to be fixing the rear wheel of an upside down bicycle .', ' Two people getting free air to fill up there bicycle tire while an older woman watches .', ' A bicyclist in a white shirt and black shirt is fixing a bike on the sidewalk while other look on .', "" A man wearing a red shirt and sandals is putting air into his bicycle 's rear tire while a man in a white shirt holds the bicycle and a woman in a green floral dress watches ."", ' A gentleman is checking a bike wheel while some women watch .']","[0.3639375865459442, 0.3570950925350189, 0.3541834056377411, 0.34873637557029724, 0.34262868762016296]","['5001254496.jpg', '46348868.jpg', '4636627093.jpg', '46348868.jpg', '4982419929.jpg']",0,1,1,A man in a white shirt and black shorts is fixing a bicycle on the sidewalk while other people watch,A man in a white shirt and black shorts is fixing a bicycle on the sidewalk while other people watch,A woman fixing a bicycle wheel with a helmet on the ground.,A woman fixing a bicycle wheel with a helmet on the ground.
9726060.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/9726060.jpg,"[' Two young children are climbing an artificial rock face .', ' Two children climbing a rock climbing wall .', ' Two children climb a rock wall as two people watch carefully .', ' A boy and a girl climbing up a fake rock wall in climbing gear .', ' Two kids climb a rock wall .']","[0.3916001617908478, 0.3741159439086914, 0.37164944410324097, 0.3703124523162842, 0.3668871521949768]","['9726060.jpg', '3339768802.jpg', '3246281818.jpg', '9726060.jpg', '3339768802.jpg']",1,1,1,Two children climbing an artificial rock face.,Two children climbing an artificial rock face.,Two children climb a rock wall as two people watch carefully.,Two children climb a rock wall as two people watch carefully.
