image_name,image_path,retrieved_captions_b16,retrieved_scores_b16,retrieved_image_names_b16,hit@5_b16,raw_b16,answer_b16,retrieved_captions_b32,retrieved_scores_b32,retrieved_image_names_b32,hit@5_b32,raw_b32,answer_b32
000000328238.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000328238.jpg,"['A man wearing a blue shirt catching a white frisbee.', 'A man spins a frisbee as the audience looks on.', 'A man holding one frisbee and throwing another.', 'A young man participates in a Frisbee game.', 'A man reaching out to catch a frisbee.']","[0.3887450695037842, 0.3749416172504425, 0.3695482611656189, 0.3670959770679474, 0.36492130160331726]","['000000328238.jpg', '000000009378.jpg', '000000521259.jpg', '000000352582.jpg', '000000342971.jpg']",1,A man wearing a blue shirt catching a white frisbee.,A man wearing a blue shirt catching a white frisbee.,"['A man holding a frisbee prepares to throw it.', 'A young man participates in a Frisbee game.', 'A man getting ready to throw a Frisbee on a field.', 'A man holding one frisbee and throwing another.', 'He is ready to block the flight of that Frisbee.']","[0.3726266920566559, 0.3721703886985779, 0.36732661724090576, 0.3655936121940613, 0.3650420606136322]","['000000409198.jpg', '000000352582.jpg', '000000423104.jpg', '000000521259.jpg', '000000442836.jpg']",0,A man holding a frisbee prepares to throw it.,A man holding a frisbee prepares to throw it.
000000074256.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000074256.jpg,"['This is an image of two women at a train station.', 'A woman and another woman waiting at a stop.', 'A woman with a hand bag on a cell phone next to another woman.', 'Elderly women debark a bus at a station. ', 'Two women standing in a train station looking at their phones. ']","[0.33403557538986206, 0.32798922061920166, 0.32672327756881714, 0.31353071331977844, 0.3130245804786682]","['000000074256.jpg', '000000517069.jpg', '000000281687.jpg', '000000507797.jpg', '000000074256.jpg']",1,Two women standing in a train station looking at their phones.,Two women standing in a train station looking at their phones.,"['Elderly women debark a bus at a station. ', 'Two people about to get on-board a bus. ', 'A woman and another woman waiting at a stop.', 'A group of older women getting off a parked bus', 'Two women standing next to each other in a train station.']","[0.3621743619441986, 0.33121708035469055, 0.32981422543525696, 0.3229050934314728, 0.31281793117523193]","['000000507797.jpg', '000000052007.jpg', '000000517069.jpg', '000000507797.jpg', '000000074256.jpg']",1,Two women standing next to each other in a train station.,Two women standing next to each other in a train station.
000000022192.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000022192.jpg,"['A pit bull dog on a messy bed. ', 'A dog sitting on a bed covered with clothing, blankets and other items.', 'A brown dog on a bed sitting under the covers. ', 'Brown dog lying on unmade bed in bedroom of home.', 'A dog peeking out from under some covers.']","[0.3325599730014801, 0.32560667395591736, 0.291287362575531, 0.2842515707015991, 0.27423226833343506]","['000000022192.jpg', '000000022192.jpg', '000000530624.jpg', '000000072813.jpg', '000000486479.jpg']",1,A pit bull dog on a messy bed.,A pit bull dog on a messy bed.,"['A dog sitting on a bed covered with clothing, blankets and other items.', 'A pit bull dog on a messy bed. ', 'A dog sits on top of a mess of items.', 'A dog sitting on a couch with several blankets.', 'A lady laying in a bed in a room full of stuff.']","[0.366780549287796, 0.35598838329315186, 0.31532201170921326, 0.30091437697410583, 0.2961444556713104]","['000000022192.jpg', '000000022192.jpg', '000000022192.jpg', '000000338901.jpg', '000000449661.jpg']",1,"A dog sitting on a bed covered with clothing, blankets and other items.","A dog sitting on a bed covered with clothing, blankets and other items."
000000531495.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000531495.jpg,"['A pier with various boats and ships parked. ', 'Looking out over a bay with many tourist boats moored', 'A harbor with several boats floating in it.', 'Many boats anchored on docks in the harbor.', 'A harbor with several boats docked and buildings in the background.']","[0.24749059975147247, 0.2453327178955078, 0.2401445358991623, 0.2391635626554489, 0.2366807609796524]","['000000455872.jpg', '000000050006.jpg', '000000490470.jpg', '000000442822.jpg', '000000531495.jpg']",1,A harbor with several boats docked and buildings in the background.,A harbor with several boats docked and buildings in the background.,"['Looking out over a bay with many tourist boats moored', 'A harbor with several boats floating in it.', 'Boats docked at a harbor facing the city.', 'A pier with various boats and ships parked. ', 'Many boats anchored on docks in the harbor.']","[0.294355183839798, 0.29095879197120667, 0.28222382068634033, 0.2798803448677063, 0.27910298109054565]","['000000050006.jpg', '000000490470.jpg', '000000328286.jpg', '000000455872.jpg', '000000442822.jpg']",0,A harbor with several boats floating in it.,A harbor with several boats floating in it.
000000236426.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000236426.jpg,"['A tennis player hits a high ball in front of an audience. ', 'a tennis player who has just made a shot.', 'A man about to hit a tennis ball in front of a crowd', 'A tennis player taking a swing at a ball', 'A tennis player taking a swing at  a ball']","[0.2814517021179199, 0.2813051640987396, 0.27964168787002563, 0.2792527973651886, 0.2792527973651886]","['000000078915.jpg', '000000386352.jpg', '000000409211.jpg', '000000229849.jpg', '000000410650.jpg']",0,A tennis player takes a swing at a ball.,A tennis player takes a swing at a ball.,"['a man plays tennis in front of a large audience', 'A man in a white tennis outfit hitting a tennis ball. ', 'A man playing a tennis game in front of a crowd.', 'Tennis player and white outfit swinging his racket on the court. ', 'A man in white shirt and black shorts playing tennis.']","[0.3248714506626129, 0.32469749450683594, 0.318587064743042, 0.3168438673019409, 0.3157411515712738]","['000000261097.jpg', '000000080022.jpg', '000000189775.jpg', '000000126137.jpg', '000000223959.jpg']",0,A man in white shirt and shorts playing tennis on a court.,A man in white shirt and shorts playing tennis on a court.
000000161008.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000161008.jpg,"['An open pair of scissors sitting on a wooden box.', 'A big pair of scissors is on a wooden box.', 'A pair of scissors sitting on top of a wooden box.', 'A giant pair of scissors sitting on top of camera boxes.', 'Some scrap book scissors are on a brown table.']","[0.3705274760723114, 0.3598925769329071, 0.35613662004470825, 0.3201218545436859, 0.3073124885559082]","['000000161008.jpg', '000000161008.jpg', '000000161008.jpg', '000000351096.jpg', '000000368982.jpg']",1,An open pair of scissors is sitting on a wooden box.,An open pair of scissors is sitting on a wooden box.,"['An open pair of scissors sitting on a wooden box.', 'A big pair of scissors is on a wooden box.', 'A pair of scissors sitting on top of a wooden box.', 'Some scrap book scissors are on a brown table.', ' A pair of black scissors sitting on a role of tape.']","[0.36031389236450195, 0.35569053888320923, 0.35272789001464844, 0.3472406566143036, 0.34694454073905945]","['000000161008.jpg', '000000161008.jpg', '000000161008.jpg', '000000368982.jpg', '000000348012.jpg']",1,An open pair of scissors is sitting on a wooden box.,An open pair of scissors is sitting on a wooden box.
000000423519.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000423519.jpg,"['An electric trolley bus on the street in Seattle', 'a city bus sits parked next to a side walk', 'a public transit bus on a city street', 'a public transit bus on a city street ', 'a public transit bus on a city street']","[0.33451810479164124, 0.3120100498199463, 0.3087700605392456, 0.3087700605392456, 0.3087700605392456]","['000000514376.jpg', '000000177893.jpg', '000000284725.jpg', '000000423519.jpg', '000000516143.jpg']",1,An electric trolley bus on the street in Seattle.,An electric trolley bus on the street in Seattle.,"['a public transit bus on a city street ', 'a public transit bus on a city street', 'a public transit bus on a city street', 'a public transit bus on a city street', 'a public transit bus on a city street']","[0.3355812430381775, 0.3355812430381775, 0.3355812430381775, 0.3355812430381775, 0.3355812430381775]","['000000423519.jpg', '000000516143.jpg', '000000542856.jpg', '000000165039.jpg', '000000284725.jpg']",1,A public transit bus is parked on the side of the road.,A public transit bus is parked on the side of the road.
000000572303.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000572303.jpg,"['This is a train on the tracks that is filled with doors for houses. ', 'A train car is sitting on some train tracks.', 'This train car has letters and numbers on it.', 'Old rusted transit train cars sit on the tracks. ', 'A rail car that is next to a building.']","[0.32407209277153015, 0.31434324383735657, 0.30734074115753174, 0.30368465185165405, 0.29910019040107727]","['000000572303.jpg', '000000270297.jpg', '000000493566.jpg', '000000364587.jpg', '000000376625.jpg']",1,A train car with the numbers T72 and D82 on it is on the tracks.,A train car with the numbers T72 and D82 on it is on the tracks.,"['A train car with art painted on its side ', 'This train car has letters and numbers on it.', 'Old rusted transit train cars sit on the tracks. ', 'A train with mirrors on the outside sits on some tracks.', 'Shadows are cast onto the side of a train because of the sun.']","[0.3358236849308014, 0.3352365493774414, 0.3341713845729828, 0.3336978554725647, 0.3293755054473877]","['000000368456.jpg', '000000493566.jpg', '000000364587.jpg', '000000572303.jpg', '000000458109.jpg']",1,A train with mirrors on the outside sits on some tracks.,A train with mirrors on the outside sits on some tracks.
000000161781.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000161781.jpg,"['A skier getting ready to go out the gate.', 'A woman in grey and green bodysuit skiing on a slope.', 'A person leaning hard into a turn on a downhill ski course.', 'A skier about to head down the slope.', 'A person on skis standing behind a starting gate.']","[0.2853145897388458, 0.28111162781715393, 0.2743675112724304, 0.27379074692726135, 0.27090680599212646]","['000000447465.jpg', '000000161781.jpg', '000000473121.jpg', '000000252507.jpg', '000000447465.jpg']",1,A skier leaning hard into a turn on a downhill ski course.,A skier leaning hard into a turn on a downhill ski course.,"['The skier is happy to have won the race.', 'The skiier easily and skillfully jumps the small mogul.', 'A person on skis standing behind a starting gate.', 'A person riding skis down a hill on a race course.', 'A skier getting ready to go out the gate.']","[0.29126793146133423, 0.28303319215774536, 0.2771111726760864, 0.27386659383773804, 0.27309033274650574]","['000000273715.jpg', '000000164885.jpg', '000000447465.jpg', '000000161781.jpg', '000000447465.jpg']",1,A skier is riding down a snowy slope.,A skier is riding down a snowy slope.
000000198915.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000198915.jpg,"['This is an intersection sign between green lake drive and one other', 'Street signs, corner of Lynn and Bigelow.taken 11.01.2009 23:58.', 'A green street sign sitting on top of a pole.', 'A large wooden pole with a green street sign hanging from it.', 'A green road sign sitting on the side of a road.']","[0.33667799830436707, 0.3146350085735321, 0.2737470269203186, 0.2683808207511902, 0.2673477232456207]","['000000198915.jpg', '000000173183.jpg', '000000550939.jpg', '000000058636.jpg', '000000553339.jpg']",1,A green street sign for E Green Lake Dr N is shown with a No Parking sign below it.,A green street sign for E Green Lake Dr N is shown with a No Parking sign below it.,"['This is an intersection sign between green lake drive and one other', 'A green street sign sitting on top of a pole.', 'A green pole with street signs attached to it.', 'a green and white street sign some cars and buildings', 'The signs give the street names and show where to park.']","[0.36958208680152893, 0.3115393817424774, 0.3099318742752075, 0.3086247444152832, 0.30670633912086487]","['000000198915.jpg', '000000550939.jpg', '000000335800.jpg', '000000225532.jpg', '000000058636.jpg']",1,A green pole with street signs attached to it.,A green pole with street signs attached to it.
