image_name,image_path,retrieved_captions_b16,retrieved_scores_b16,retrieved_image_names_b16,hit@5_b16,raw_b16,answer_b16,retrieved_captions_b32,retrieved_scores_b32,retrieved_image_names_b32,hit@5_b32,raw_b32,answer_b32
3202798691.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3202798691.jpg,"[' A small child rides a bicycle on the side of a road .', ' A man rides a bike on a dirt path .', ' A man rides a bike on a dirt road past a blue door .', ' This young lady with her white polka dot blouse is about to take a stroll on her bike in a foreign country .', ' A biker in red rides in the countryside .']","[0.32265743613243103, 0.29817506670951843, 0.29719892144203186, 0.2969939410686493, 0.290804386138916]","['4674933591.jpg', '2308108566.jpg', '2320420111.jpg', '475594565.jpg', '2623496164.jpg']",0,A man rides a bike on a dirt road past a blue door.,A man rides a bike on a dirt road past a blue door.,"[' A man rides a bike on a dirt path .', ' A man biking through the wilderness .', ' A boy dressed in a red t-shirt and blue shorts is standing on a dirt road .', ' This young lady with her white polka dot blouse is about to take a stroll on her bike in a foreign country .', ' A small child rides a bicycle on the side of a road .']","[0.3402847945690155, 0.334036648273468, 0.3295845091342926, 0.3260484039783478, 0.3240143656730652]","['2308108566.jpg', '6150843883.jpg', '2778696039.jpg', '475594565.jpg', '4674933591.jpg']",0,A man rides a bike on a dirt path.,A man rides a bike on a dirt path.
4888378326.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4888378326.jpg,"[' A group of friends seated on concrete waiting for something .', ' Four people are sitting down on a sidewalk .', ' a small group of people sitting together outside .', ' People sit and talk on the ledge of stone public building', ' A group of men are passing time sitting on the ledges of a building .']","[0.37924468517303467, 0.3555122911930084, 0.3317072093486786, 0.317096084356308, 0.31405192613601685]","['137431115.jpg', '137431115.jpg', '3432634159.jpg', '4851434789.jpg', '4621091937.jpg']",0,A group of men are sitting on the ledges of a building.,A group of men are sitting on the ledges of a building.,"[' A group of friends seated on concrete waiting for something .', ' A group of men are passing time sitting on the ledges of a building .', ' A group of men sitting on the roof of a building .', ' Three photographers are lined up on tile .', ' People sit and talk on the ledge of stone public building']","[0.38841867446899414, 0.34602299332618713, 0.3429263234138489, 0.34187448024749756, 0.33925434947013855]","['137431115.jpg', '4621091937.jpg', '984950.jpg', '2201122447.jpg', '4851434789.jpg']",0,A group of men are sitting on the ledges of a building.,A group of men are sitting on the ledges of a building.
4196910882.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4196910882.jpg,"[' A band is playing on stage with the guy on the left playing a red and white guitar .', ' Two guys performing on stage , one playing guitar the other singing .', ' Two men are on stage playing guitars while a third man wearing a baseball hat sings into a microphone .', ' A band playing on stage , with one man on keyboards and the other playing a red guitar .', ' two men on stage playing guitar .']","[0.3219168782234192, 0.31107383966445923, 0.3098749816417694, 0.30722591280937195, 0.3048153817653656]","['2322797357.jpg', '7094400667.jpg', '2260099785.jpg', '4508668804.jpg', '3091369572.jpg']",0,Two men are on stage playing guitars while a third man wearing a baseball hat sings into a microphone.,Two men are on stage playing guitars while a third man wearing a baseball hat sings into a microphone.,"[' A band is playing on stage with the guy on the left playing a red and white guitar .', ' Two men are on stage playing guitars while a third man wearing a baseball hat sings into a microphone .', ' Two men are playing their guitars and singing on stage .', ' There are two men on a stage with guitars greeting each other .', ' Two men , both playing guitars , and one is singing into a microphone .']","[0.3466407060623169, 0.3399950861930847, 0.3384399116039276, 0.33809372782707214, 0.337726354598999]","['2322797357.jpg', '2260099785.jpg', '2351694146.jpg', '4614813437.jpg', '7726370800.jpg']",0,Two men are playing their guitars and singing on stage.,Two men are playing their guitars and singing on stage.
2437917174.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2437917174.jpg,"[' A girl in a white sweater and blue jeans typing a paper on a laptop .', ' A young student doing her math homework .', ' A young woman is at her desk working on what appears to be a drawing assignment .', ' A woman with brown hair and wearing a black hat is looking in a microscope and writing something down .', ' A young lady looks through a microscope focusing on a specimen .']","[0.2959112823009491, 0.29172879457473755, 0.2802378833293915, 0.278294175863266, 0.27643513679504395]","['3139289763.jpg', '4304306426.jpg', '244344740.jpg', '2325436092.jpg', '4949430092.jpg']",0,A young woman is at her desk working on what appears to be a drawing assignment.,A young woman is at her desk working on what appears to be a drawing assignment.,"[' A young woman is at her desk working on what appears to be a drawing assignment .', ' A young student doing her math homework .', ' A woman smiling while writing something on an envelope .', ' A young lady looks through a microscope focusing on a specimen .', ' A professional woman wearing a tan uniform as she looks up and smiles while having a high tech microscope in front of her .']","[0.3313107490539551, 0.31625914573669434, 0.31296393275260925, 0.3101004660129547, 0.30701732635498047]","['244344740.jpg', '4304306426.jpg', '2437917174.jpg', '4949430092.jpg', '5467111335.jpg']",1,A young woman is at her desk writing on a piece of paper.,A young woman is at her desk writing on a piece of paper.
3246788996.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3246788996.jpg,"[' Several people paying attention to a lecture .', ' Students are waiting in a queue to get the admission .', ' College students at a kegger .', ' Multiple people standing and viewing papers .', ' Two airline passengers : a young man wearing black and a young woman in green .']","[0.2974925637245178, 0.29462748765945435, 0.291772723197937, 0.28960222005844116, 0.2879946529865265]","['428168186.jpg', '2766744325.jpg', '72008635.jpg', '3937854352.jpg', '1857479783.jpg']",0,Several people paying attention to a lecture.,Several people paying attention to a lecture.,"[' A group of people pointing and looking at something off-camera .', ' A band is jamming out to the music .', ' People dancing inside a room where there is a small concert happening .', ' A group of young people are watching a band perform .', ' People calmly and intently waiting for the band to begin .']","[0.3177132308483124, 0.3125268816947937, 0.30925455689430237, 0.30603593587875366, 0.3046994209289551]","['3501386648.jpg', '3099294440.jpg', '3971388640.jpg', '188004244.jpg', '8173029395.jpg']",0,A group of people pointing and looking at something off-camera.,A group of people pointing and looking at something off-camera.
1507563902.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/1507563902.jpg,"[' A boy bounces on a trampoline .', ' A boy bouncing on a trampoline .', ' A young boy jumps into the air using a trampoline .', ' This child is jumping on a large trampoline .', ' A kid in sportswear is attempting a one-handed stand on a trampoline .']","[0.2965148389339447, 0.2841240465641022, 0.28230535984039307, 0.27229544520378113, 0.26971399784088135]","['2373358061.jpg', '2874876837.jpg', '335238081.jpg', '1546632452.jpg', '3532587748.jpg']",0,A kid in sportswear is attempting a one-handed stand on a trampoline.,A kid in sportswear is attempting a one-handed stand on a trampoline.,"[' This child is jumping on a large trampoline .', ' A boy bounces on a trampoline .', ' a man bouncing on trampoline .', ' A boy bouncing on a trampoline .', ' A shirtless man doing a flip while jumping on a trampoline with a tent in the background .']","[0.3435939848423004, 0.3433297276496887, 0.34103646874427795, 0.33495739102363586, 0.3270525336265564]","['1546632452.jpg', '2373358061.jpg', '1802509657.jpg', '2874876837.jpg', '2831891201.jpg']",0,A shirtless man doing a flip while jumping on a trampoline with a tent in the background.,A shirtless man doing a flip while jumping on a trampoline with a tent in the background.
4756096577.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4756096577.jpg,"[' An Asian person is sitting in the street on a motorbike .', ' A man on a moped is driving through the streets of his town .', ' A Asian man takes a ride on his motorcycle on a brick roadway .', ' A guy on the motorcycle .', ' A man wearing a sleeveless shirt riding a moped .']","[0.3091490864753723, 0.2938983142375946, 0.2911425232887268, 0.2878965735435486, 0.2856605648994446]","['4975224628.jpg', '5192430558.jpg', '4479254009.jpg', '3620492762.jpg', '4972635204.jpg']",0,An Asian man is riding a motorcycle down a street.,An Asian man is riding a motorcycle down a street.,"[' A man wearing a sleeveless shirt riding a moped .', ' An Asian person is sitting in the street on a motorbike .', ' A Asian man takes a ride on his motorcycle on a brick roadway .', ' A man on a moped is driving through the streets of his town .', ' An Asian man with a blue shirt and brown pants rides a motorcycle .']","[0.3551996946334839, 0.34770408272743225, 0.3373696506023407, 0.3349168002605438, 0.33375251293182373]","['4972635204.jpg', '4975224628.jpg', '4479254009.jpg', '5192430558.jpg', '4756096577.jpg']",1,An Asian man with a blue shirt and brown pants rides a motorcycle.,An Asian man with a blue shirt and brown pants rides a motorcycle.
2705888144.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2705888144.jpg,"[' Young man in blue shorts about to perform a slam dunk .', ' A man in a white shirt dunks a basketball when a small crowd looks on .', ' A man jumps up towards the basketball hoop as others watch .', ' A slam dunk performed at a basketball game .', ' A guy jumps to make a basketball shot .']","[0.3502841889858246, 0.3368722200393677, 0.33009886741638184, 0.3286845088005066, 0.31815823912620544]","['2705888144.jpg', '7643054168.jpg', '3250589803.jpg', '7026785077.jpg', '3558683579.jpg']",1,A man jumps up towards the basketball hoop as others watch.,A man jumps up towards the basketball hoop as others watch.,"[' A man in a white shirt dunks a basketball when a small crowd looks on .', ' Young man in blue shorts about to perform a slam dunk .', ' A man jumps up towards the basketball hoop as others watch .', ' Two young men play basketball while crowd looks on', ' A slam dunk performed at a basketball game .']","[0.35725072026252747, 0.3525584936141968, 0.33653196692466736, 0.3313172161579132, 0.33100298047065735]","['7643054168.jpg', '2705888144.jpg', '3250589803.jpg', '3323514651.jpg', '7026785077.jpg']",1,A man jumps up towards the basketball hoop as others watch.,A man jumps up towards the basketball hoop as others watch.
4636627093.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4636627093.jpg,"[' A man is examining a bicycle tire while a group of 4 people watch him .', ' One person repairing a bicycle while two others look on .', ' Two people outside examining a bicycle tire .', "" Two men test a bike 's back wheel ."", ' A bicyclist falls off his bike while others watch .']","[0.34403684735298157, 0.3373604118824005, 0.3207494914531708, 0.3105880916118622, 0.30790480971336365]","['4982419929.jpg', '7067778185.jpg', '6186146093.jpg', '5962276180.jpg', '8068863852.jpg']",0,A man is examining a bicycle tire while a group of 4 people watch him.,A man is examining a bicycle tire while a group of 4 people watch him.,"[' A man is examining a bicycle tire while a group of 4 people watch him .', ' A curly-haired man in a blue t-shirt is fixing his red bicycle , which is upside down on the sidewalk , with a friend wearing a black watch .', ' A man works on the rear tire of a bike while a baby looks on from behind the bike .', ' Two people outside examining a bicycle tire .', ' One person repairing a bicycle while two others look on .']","[0.32356053590774536, 0.317579060792923, 0.3166709840297699, 0.31573373079299927, 0.31393346190452576]","['4982419929.jpg', '2842122575.jpg', '3712463209.jpg', '6186146093.jpg', '7067778185.jpg']",0,A man is examining a bicycle tire while a group of 4 people watch him.,A man is examining a bicycle tire while a group of 4 people watch him.
9726060.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/9726060.jpg,"[' Two children , one male and one female are practicing outdoor rock climbing .', ' Two people are climbing and outdoor artificial climbing wall .', ' A young boy in a green shirt is strapped in a harness climbing a rock wall .', ' a young boy climbing on a rock wall', ' The kids are playing over the rock .']","[0.34093549847602844, 0.3237868845462799, 0.31939274072647095, 0.3117302358150482, 0.30299490690231323]","['9726060.jpg', '506082695.jpg', '757133580.jpg', '2565657591.jpg', '711689801.jpg']",1,"Two children, one male and one female, are practicing outdoor rock climbing.","Two children, one male and one female, are practicing outdoor rock climbing.","[' Two children , one male and one female are practicing outdoor rock climbing .', ' Two people are climbing and outdoor artificial climbing wall .', ' A boy with a red shirt climbs a large rock while a man with a red shirt helps him .', ' Two men are climbing on an interestingly shaped rock feature .', ' a climber in a red shirt is scaling a rock face whilst being watched by another man in a white shirt .']","[0.35676804184913635, 0.35316166281700134, 0.3318355083465576, 0.3222426474094391, 0.3182138502597809]","['9726060.jpg', '506082695.jpg', '2457052334.jpg', '3568225554.jpg', '3568219100.jpg']",1,"Two children, one male and one female, are practicing outdoor rock climbing.","Two children, one male and one female, are practicing outdoor rock climbing."
