image_name,image_path,retrieved_captions,retrieved_scores,retrieved_image_names,hit@1,hit@5,hit@10,raw_rag,answer_rag
3202798691.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3202798691.jpg,"[' One man in the distance on a bicycle .', ' A person wearing red rides a bicycle over a dirt path .', ' A man in a white shirt on a bicycle with a Coca Cola crate on the back rides down a red dirt road .', ' An African child has one foot on the pedal of his bicycle , stopping to look to his left .', ' A bike rider on his side on a dirt road with people watching .', ' A man is riding a bicycle down a dirt road .', ' Two african women bike down a dirt road .', ' An older gentleman rides his bike along the side of a road in a rural area .', ' A person in a red shirt is riding a bicycle along a dirt trail .', ' A man rides a bike on a dirt path .']","[0.357150673866272, 0.3559662699699402, 0.3517334461212158, 0.3511207401752472, 0.3468376100063324, 0.3467087149620056, 0.34609463810920715, 0.3447285294532776, 0.34242114424705505, 0.3402847945690155]","['7357208586.jpg', '3090398639.jpg', '3202798691.jpg', '5148259688.jpg', '5075763701.jpg', '3202798691.jpg', '3170122039.jpg', '2825483885.jpg', '6424430479.jpg', '2308108566.jpg']",0,1,1,A man in a white shirt rides a bicycle with a Coca Cola crate on the back down,A man in a white shirt rides a bicycle with a Coca Cola crate on the back down
4888378326.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4888378326.jpg,"[' A group of friends seated on concrete waiting for something .', ' The four young men are sitting on the low wall .', ' Group of people on the rooftop of a building looking down .', ' A small group of people looking out over the rail of a parking garage .', ' There are lots of people sitting down and walking around on concrete .', ' A group of people waiting for something .', ' Some people are sitting , some are standing on a sidewalk .', ' Four people sitting on low cement ledge .', ' A group of five people are sitting on a sidewalk or courtyard while another man , on a higher level of ground , stands above them .', ' A group of people are waiting for something .']","[0.38841867446899414, 0.37977102398872375, 0.3666471540927887, 0.3641359210014343, 0.3610168695449829, 0.36020994186401367, 0.35996681451797485, 0.3592604994773865, 0.3579106628894806, 0.35528984665870667]","['137431115.jpg', '301582255.jpg', '67210694.jpg', '2686452246.jpg', '4185776966.jpg', '19366040.jpg', '4826604964.jpg', '3550253365.jpg', '4483996189.jpg', '4808564802.jpg']",0,0,0,A group of people waiting for something.,A group of people waiting for something.
4196910882.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4196910882.jpg,"[' Two men with guitars singing and playing their guitars in a darkened venue .', ' Band playing in a dark room , with the center member singing and playing a red guitar ; keyboardist behind him to the left with another guitar player on the right .', ' At a rock concert a man dressed in black and white pants and a checked hat plays his red guitar while another man sings .', ' three musicians on a stage , two are guitarists , and one is wearing a hat , black striped pants , strumming a red electric guitar , and the other guitarist is strumming a white guitar while the other musician is wearing blue jeans and a black t-shirt and singing .', ' Three men are playing guitars , singing , and dancing on a stage in a club setting .', ' A band is playing on stage with the guy on the left playing a red and white guitar .', ' Two male musicians on stage , wearing t-shirts and one is playing the guitar , the other is singing .', ' A lead singer and a guitarist are pictured in this concert photo performing one of their songs .', ' Two white males are doing a set at a venue with guitars and vocals .', ' A man plays a guitar while another man swings his head down while holding tight to a microphone .']","[0.36189359426498413, 0.35566991567611694, 0.3517214357852936, 0.3501266539096832, 0.34919995069503784, 0.3466407060623169, 0.34250709414482117, 0.34217196702957153, 0.34191593527793884, 0.3411763608455658]","['2351694146.jpg', '5338988058.jpg', '7438195398.jpg', '7438195398.jpg', '3232734391.jpg', '2322797357.jpg', '6554248473.jpg', '3233596490.jpg', '40793390.jpg', '6269296633.jpg']",0,0,0,Two men with guitars singing and playing their guitars in a darkened venue.,Two men with guitars singing and playing their guitars in a darkened venue.
2437917174.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2437917174.jpg,"[' An ethnic woman smiling while writing at a desk .', ' An African-American woman filling out papers .', ' A dark-skinned woman , wearing a black and white top with a brown fur-lined collar , arranges brochures and other papers on a table .', ' A young woman is at her desk working on what appears to be a drawing assignment .', ' An African-american woman looking into a microscope with a pictures of micro-organisms on her desk .', ' A girl sits at a desk and reads a paper .', "" A young women sits in front of her computer and tries to study the fine print on a paper with the aid of a doctor 's spotlight attached to her head ."", ' A dark-skinned woman in a denim jacket is writing something .', ' The student observes a microscope slide through a microscope while trying to match what she sees with images in her workbook .', ' A female student concentrates on her schoolwork .']","[0.3485769033432007, 0.336421400308609, 0.3353547751903534, 0.3313107490539551, 0.3257257640361786, 0.32500186562538147, 0.3247528076171875, 0.32423636317253113, 0.32290107011795044, 0.32132747769355774]","['2437917174.jpg', '2437917174.jpg', '3726935024.jpg', '244344740.jpg', '4567208443.jpg', '303103209.jpg', '6364046387.jpg', '2437917174.jpg', '4567208443.jpg', '6284697322.jpg']",1,1,1,An ethnic woman smiling while writing at a desk.,An ethnic woman smiling while writing at a desk.
3246788996.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/3246788996.jpg,"[' Pleople at a party , their backs to the camera .', ' A group of people are facing away from the camera .', ' A group of people clap and take pictures of an unseen subject .', ' Small group of people putting on some kind of a performance .', ' A group of people looking of in different directions trying to avoid the camera .', ' A band practicing with viewers .', ' One of three band members sings while the others continue to play .', ' A group of people pointing and looking at something off-camera .', ' A group of people looking at sound equipment .', ' Three people at with their backs to the camera at an internet bar .']","[0.3339836299419403, 0.32579919695854187, 0.32554471492767334, 0.3205207884311676, 0.31951242685317993, 0.3190878629684448, 0.31867721676826477, 0.3177132308483124, 0.3155996799468994, 0.315379798412323]","['3336759846.jpg', '3114944484.jpg', '3475092236.jpg', '4553464209.jpg', '74641706.jpg', '5302864546.jpg', '5338988058.jpg', '3501386648.jpg', '3042380610.jpg', '407569668.jpg']",0,0,0,Three people at with their backs to the camera at an internet bar.,Three people at with their backs to the camera at an internet bar.
1507563902.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/1507563902.jpg,"[' A young boy doing a flip on a trampoline', ' A long-haired guy doing a backflip on the trampoline .', ' A shirtless young man wearing worn-out jeans and socks does a back flip on the trampoline .', ' a man back flipping on trampoline', ' This is a young man jumping midair on a trampoline .', ' This child is jumping on a large trampoline .', ' A boy bounces on a trampoline .', ' a child is doing a back flip whilst jumping on a trampoline .', ' a man bouncing on trampoline .', ' Someone is flipping on a blue trampoline .']","[0.3603131175041199, 0.354890912771225, 0.3517073690891266, 0.35100358724594116, 0.3491671681404114, 0.3435939848423004, 0.3433297276496887, 0.34138140082359314, 0.34103646874427795, 0.33856090903282166]","['2513923598.jpg', '2831891201.jpg', '2831891201.jpg', '2831891201.jpg', '2513923598.jpg', '1546632452.jpg', '2373358061.jpg', '1507563902.jpg', '1802509657.jpg', '1507563902.jpg']",0,0,1,A long-haired guy doing a backflip on the trampoline.,A long-haired guy doing a backflip on the trampoline.
4756096577.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4756096577.jpg,"[' An Asian man , wearing a helmet , sits on his moped waiting for the light to change .', ' A man riding on a motorcycle sideways in Japan .', ' A man wearing a sleeveless shirt riding a moped .', ' The shirtless man is sitting on his motor scooter .', ' Man driving a moped with a side care with a jeepney in the background .', ' A man with a helmet and a cellphone is sitting on his moped at a crosswalk .', ' A man with no shirt sitting on a moped .', ' A man in a blue shirt riding a motorcycle in Japan .', ' An Asian person is sitting in the street on a motorbike .', ' Asian man riding a scooter watches for traffic .']","[0.37187138199806213, 0.3572140336036682, 0.3551996946334839, 0.35140475630760193, 0.35023415088653564, 0.3495946228504181, 0.34858956933021545, 0.34808486700057983, 0.34770408272743225, 0.34657904505729675]","['4756096577.jpg', '4479254009.jpg', '4972635204.jpg', '4893597664.jpg', '3410629379.jpg', '4975224628.jpg', '4893597664.jpg', '4756096577.jpg', '4975224628.jpg', '4968082098.jpg']",1,1,1,An Asian man wearing a helmet is sitting on his moped at a crosswalk.,An Asian man wearing a helmet is sitting on his moped at a crosswalk.
2705888144.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/2705888144.jpg,"[' A man in blue shorts jumps up to dunk a basketball while a crowd looks on .', ' A basketball player slam dunking the basketball during a game as the crowd and players watch .', ' One basketball player is dunking a basketball rim in midair in front of a small crowd of spectators .', ' A man dunks a basketball in front of a crowd .', ' A man in a white shirt dunks a basketball when a small crowd looks on .', ' Young man in blue shorts about to perform a slam dunk .', ' Spectators look on in amazement as a basketball player dunks the ball .', ' A man holds a basketball while he leaps through the air to put the ball in the hoop while many people watch from the stands .', ' A basketball player is jumping and about to dunk a ball in front of a crowd .', ' A basketball player slam dunks the ball as his body goes sideways ; as several people look on .']","[0.3781352639198303, 0.3690935969352722, 0.36772847175598145, 0.3624301552772522, 0.35725072026252747, 0.3525584936141968, 0.35086947679519653, 0.34971120953559875, 0.3468906283378601, 0.34455257654190063]","['2705888144.jpg', '7026785077.jpg', '7643054168.jpg', '2705888144.jpg', '7643054168.jpg', '2705888144.jpg', '7643054168.jpg', '6935145053.jpg', '3439382048.jpg', '7643054168.jpg']",1,1,1,A man in blue shorts jumps up to dunk a basketball while a crowd looks on.,A man in blue shorts jumps up to dunk a basketball while a crowd looks on.
4636627093.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/4636627093.jpg,"[' One woman wearing a black shirt , black pants and white dirty white shoes surrounded by bicycles with a helmet on the ground appears to be fixing the rear wheel of an upside down bicycle .', ' Two people getting free air to fill up there bicycle tire while an older woman watches .', ' A bicyclist in a white shirt and black shirt is fixing a bike on the sidewalk while other look on .', "" A man wearing a red shirt and sandals is putting air into his bicycle 's rear tire while a man in a white shirt holds the bicycle and a woman in a green floral dress watches ."", ' A gentleman is checking a bike wheel while some women watch .', ' A few Japanese folk fix a bike .', ' Bike riders fixing a broken down bicycle .', ' Two people with bicycles are stopped to try and fix the chain on one of the bikes .', ' An innertube is being worked on a bicycle by a male and female .', ' Two cyclists bend down to inspect the back of a bicycle .']","[0.3639375865459442, 0.3570950925350189, 0.3541834056377411, 0.34873637557029724, 0.34262868762016296, 0.3408585786819458, 0.34039461612701416, 0.3399887681007385, 0.33767348527908325, 0.3343043029308319]","['5001254496.jpg', '46348868.jpg', '4636627093.jpg', '46348868.jpg', '4982419929.jpg', '5180313655.jpg', '5583280537.jpg', '3748481499.jpg', '6186146093.jpg', '288908971.jpg']",0,1,1,A man in a white shirt and black shorts is fixing a bicycle on the sidewalk while other people watch,A man in a white shirt and black shorts is fixing a bicycle on the sidewalk while other people watch
9726060.jpg,/kaggle/input/datasets/hsankesara/flickr-image-dataset/flickr30k_images/flickr30k_images/9726060.jpg,"[' Two young children are climbing an artificial rock face .', ' Two children climbing a rock climbing wall .', ' Two children climb a rock wall as two people watch carefully .', ' A boy and a girl climbing up a fake rock wall in climbing gear .', ' Two kids climb a rock wall .', ' Two children are climbing a rock wall .', ' The children take a crack at rock climbing .', ' Two young children scaling a wall with harnesses on .', ' Children rock climb as their mothers take a break .', ' Children climbing statue .']","[0.3916001617908478, 0.3741159439086914, 0.37164944410324097, 0.3703124523162842, 0.3668871521949768, 0.3654988408088684, 0.361660361289978, 0.3609663248062134, 0.3595798909664154, 0.35819047689437866]","['9726060.jpg', '3339768802.jpg', '3246281818.jpg', '9726060.jpg', '3339768802.jpg', '9726060.jpg', '3339768802.jpg', '3246281818.jpg', '858747984.jpg', '1428681303.jpg']",1,1,1,Two children are climbing a rock wall.,Two children are climbing a rock wall.
