,image_name,image_path,retrieved_captions,retrieved_scores,retrieved_image_names,hit@1,hit@5,hit@10,raw_rag,answer_rag,references,bleu_rag,rouge1_rag,rouge2_rag,rougeL_rag,clipscore_rag
0,000000328238.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000328238.jpg,"['A guy gets ready to throw a Frisbee during a game.', 'A man holding a frisbee prepares to throw it.', 'A young man participates in a Frisbee game.', 'A man gets ready to throw a frisbee in a park.', 'A man getting ready to throw a Frisbee on a field.', 'A man holding one frisbee and throwing another.', 'He is ready to block the flight of that Frisbee.', 'A Frisbee player is about to catch a thrown Frisbee.', 'A man wearing a blue shirt catching a white frisbee.', 'A young man holding a Frisbee in a throwing position.']","[0.38285431265830994, 0.3726266920566559, 0.3721703886985779, 0.36832883954048157, 0.36732661724090576, 0.3655936121940613, 0.3650420606136322, 0.3639858663082123, 0.36237502098083496, 0.3612763583660126]","['000000401244.jpg', '000000409198.jpg', '000000352582.jpg', '000000325991.jpg', '000000423104.jpg', '000000521259.jpg', '000000442836.jpg', '000000291619.jpg', '000000328238.jpg', '000000343803.jpg']",0,0,1,A man in a blue shirt and white hat is preparing to throw a white frisbee in a park.,A man in a blue shirt and white hat is preparing to throw a white frisbee in a park.,"['A man wearing a blue shirt catching a white frisbee.', 'a man in a blue shirt playing with a white ball', 'A man catching a frisbee in a park', 'the woman is playing frisbee a the family picnic in the park.', 'A man in a grassy field about to catch a frisbee.']",0.3480442076026084,0.5517241379310345,0.42857142857142855,0.5517241379310345,0.38348835706710815
1,000000074256.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000074256.jpg,"['Elderly women debark a bus at a station. ', 'A woman sitting on a bench and a woman standing behind the bench at a bus stop', 'Two people about to get on-board a bus. ', 'A woman and another woman waiting at a stop.', 'A woman sitting on a bench and a woman standing waiting for the bus.', 'two elder people sit on a bench on a bus street', 'A group of older women getting off a parked bus', 'Two women standing next to each other in a train station.', 'A woman with a hand bag on a cell phone next to another woman.', 'This is an image of two women at a train station.']","[0.3621743619441986, 0.3537268340587616, 0.33121708035469055, 0.32981422543525696, 0.3282581865787506, 0.32437843084335327, 0.3229050934314728, 0.31281793117523193, 0.310577392578125, 0.3089700937271118]","['000000507797.jpg', '000000517069.jpg', '000000052007.jpg', '000000517069.jpg', '000000517069.jpg', '000000130826.jpg', '000000507797.jpg', '000000074256.jpg', '000000281687.jpg', '000000074256.jpg']",0,0,1,Two women standing next to each other in a train station.,Two women standing next to each other in a train station.,"['Two women standing next to each other in a train station.', 'Two women walking on  a train platform', 'This is an image of two women at a train station.', 'Two women in winter types clothes sitting at a train station', 'Two women standing in a train station looking at their phones.']",1.0,1.0,1.0,1.0,0.3128180503845215
2,000000022192.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000022192.jpg,"['A dog sitting on a bed covered with clothing, blankets and other items.', 'A pit bull dog on a messy bed. ', 'A dog sitting in a pile of bedding and other stuff.', 'A dog sits on top of a mess of items.', 'A dog is sitting on an unmade bed with pillows.', 'A dog sitting on a couch with several blankets.', 'a dog laying on a couch and covered with blankets ', 'A lady laying in a bed in a room full of stuff.', 'The old stuff animal is on an old couch next to bottles.', 'A dog lying on a couch with blankets and pillows.']","[0.366780549287796, 0.35598838329315186, 0.35006609559059143, 0.31532201170921326, 0.3035537302494049, 0.30091437697410583, 0.2994145452976227, 0.2961444556713104, 0.29499295353889465, 0.29045236110687256]","['000000022192.jpg', '000000022192.jpg', '000000022192.jpg', '000000022192.jpg', '000000022192.jpg', '000000338901.jpg', '000000338901.jpg', '000000449661.jpg', '000000020553.jpg', '000000222317.jpg']",1,1,1,"A dog sitting on a bed covered with clothing, blankets and other items.","A dog sitting on a bed covered with clothing, blankets and other items.","['A dog is sitting on an unmade bed with pillows.', 'A dog sitting in a pile of bedding and other stuff.', 'A dog sits on top of a mess of items.', 'A dog sitting on a bed covered with clothing, blankets and other items.', 'A pit bull dog on a messy bed.']",1.0,1.0,1.0,1.0,0.366780549287796
3,000000531495.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000531495.jpg,"['Looking out over a bay with many tourist boats moored', 'A harbor with several boats floating in it.', 'Boats docked at a harbor facing the city.', 'Sailboats docked at the pier of a town marina.', 'A pier with various boats and ships parked. ', 'Many boats anchored on docks in the harbor.', 'A marina filled with boats floating in crystal blue water.', 'A small harbor with boats docked and on racks', 'Several rows of boats docked on a body of water.', 'A harbor with several boats docked and buildings in the background.']","[0.294355183839798, 0.29095879197120667, 0.28222382068634033, 0.28183260560035706, 0.2798803448677063, 0.27910298109054565, 0.2769872844219208, 0.27553945779800415, 0.27401527762413025, 0.27365419268608093]","['000000050006.jpg', '000000490470.jpg', '000000328286.jpg', '000000531495.jpg', '000000455872.jpg', '000000442822.jpg', '000000133233.jpg', '000000377882.jpg', '000000442822.jpg', '000000531495.jpg']",0,1,1,A harbor with several boats docked and buildings in the background.,A harbor with several boats docked and buildings in the background.,"['there are many boats that are parked at this dock', 'a dock with some boats parked there', 'Sailboats docked at the pier of a town marina.', 'A boat that is sitting near a pier.', 'A harbor with several boats docked and buildings in the background.']",1.0,1.0,1.0,1.0,0.2736542224884033
4,000000236426.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000236426.jpg,"['A white-clad tennis player hurls a ball upward to deliver a serve.', 'a man plays tennis in front of a large audience', 'A man in a white tennis outfit hitting a tennis ball. ', 'A man playing a tennis game in front of a crowd.', 'Tennis player and white outfit swinging his racket on the court. ', 'A man in white shirt and black shorts playing tennis.', 'A tennis player with his leg up in the air and a racket in one hand.', 'A man playing in a tennis match with a large crowd', 'Man in white outfit swinging a racket at a tennis ball.', 'a male tennis player in white shorts is playing tennis']","[0.32634979486465454, 0.3248714506626129, 0.32469749450683594, 0.318587064743042, 0.3168438673019409, 0.3157411515712738, 0.3150950074195862, 0.31493303179740906, 0.31476208567619324, 0.3142702281475067]","['000000269121.jpg', '000000261097.jpg', '000000080022.jpg', '000000189775.jpg', '000000126137.jpg', '000000223959.jpg', '000000121744.jpg', '000000189775.jpg', '000000493905.jpg', '000000000885.jpg']",0,0,0,A male tennis player in white shorts is playing tennis.,A male tennis player in white shorts is playing tennis.,"['A man swinging a tennis racquet at a ball on a court.', 'A tennis player is playing tennis while a crowd watches.', 'A tennis player playing tennis on the court.', ""The tennis player's feet leave the ground as he hits the ball."", 'A tennis player is jumping in the air at a tennis match.']",0.06985342056580097,0.6,0.3333333333333333,0.6,0.31203100085258484
5,000000161008.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000161008.jpg,"['An open pair of scissors sitting on a wooden box.', 'A big pair of scissors is on a wooden box.', 'A pair of scissors sitting on top of a wooden box.', 'Some scrap book scissors are on a brown table.', ' A pair of black scissors sitting on a role of tape.', 'A pair of scissors sitting on a wooden box on a table.', 'a pair of scissor that is laying on a wooden table', 'A pair of black handled scissors lying on a roll of tape.', 'a pair of black scissors and a roll of tape', 'A giant pair of scissors sitting on top of camera boxes.']","[0.36031389236450195, 0.35569053888320923, 0.35272789001464844, 0.3472406566143036, 0.34694454073905945, 0.34515300393104553, 0.3407789468765259, 0.3385728597640991, 0.33562713861465454, 0.3303564190864563]","['000000161008.jpg', '000000161008.jpg', '000000161008.jpg', '000000368982.jpg', '000000348012.jpg', '000000161008.jpg', '000000368982.jpg', '000000348012.jpg', '000000348012.jpg', '000000351096.jpg']",1,1,1,An open pair of scissors is sitting on a wooden box.,An open pair of scissors is sitting on a wooden box.,"['A pair of scissors sitting on top of a wooden box.', 'An open pair of scissors sitting on a wooden box.', 'A pair of scissors sitting on a wooden box on a table.', 'A big pair of scissors is on a wooden box.', 'a pair of large sheers on top of a box.']",0.8132882808488929,0.9523809523809523,0.8421052631578948,0.9523809523809523,0.35427796840667725
6,000000423519.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000423519.jpg,"['a public transit bus on a city street', 'a public transit bus on a city street ', 'a public transit bus on a city street', 'a public transit bus on a city street', 'a public transit bus on a city street ', 'a public transit bus on a city street', 'a public transit bus on a city street', 'A red trolley car driving down a parking lot.', 'A passenger bus pulling up to the side of a street.', 'a public transit bus in a city street ']","[0.3355812430381775, 0.3355812430381775, 0.3355812430381775, 0.3355812430381775, 0.3355812430381775, 0.3355812430381775, 0.3355812430381775, 0.33262211084365845, 0.328666627407074, 0.328275203704834]","['000000542856.jpg', '000000423519.jpg', '000000284725.jpg', '000000516143.jpg', '000000147725.jpg', '000000269632.jpg', '000000165039.jpg', '000000082846.jpg', '000000005037.jpg', '000000055167.jpg']",0,1,1,A public transit bus on a city street.,A public transit bus on a city street.,"['a public transit bus on a city street', 'A red and yellow passenger bus on the road.', 'The red bus is driving down the street.', 'A yellow and red bus in the middle of the street.', 'A city bus drives down a quiet road.']",0.7311104457090247,1.0,1.0,1.0,0.3348657786846161
7,000000572303.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000572303.jpg,"['A train car with art painted on its side ', 'This train car has letters and numbers on it.', 'Old rusted transit train cars sit on the tracks. ', 'A train with mirrors on the outside sits on some tracks.', 'Shadows are cast onto the side of a train because of the sun.', 'A train car is open and shows the door on the other side.', 'A long train filled with nothing but cabooses.', 'The train car has been vandalized on the outside.', 'This is a train on the tracks that is filled with doors for houses. ', 'A train traveling under a rusted bridge on top of tracks.']","[0.3358236849308014, 0.3352365493774414, 0.3341713845729828, 0.3336978554725647, 0.3293755054473877, 0.3261929750442505, 0.3253389298915863, 0.3227151334285736, 0.32124099135398865, 0.3211551606655121]","['000000368456.jpg', '000000493566.jpg', '000000364587.jpg', '000000572303.jpg', '000000458109.jpg', '000000508482.jpg', '000000368038.jpg', '000000368456.jpg', '000000572303.jpg', '000000539143.jpg']",0,1,1,A train with a rusted bridge on top of it is on the tracks.,A train with a rusted bridge on top of it is on the tracks.,"['A train speeding along the railroad tracks during the day.', 'A train with mirrors on the outside sits on some tracks.', 'This is a train on the tracks that is filled with doors for houses.', 'A train has oval like mirrors on the sides.', 'A train car parked next to a tree on tracks.']",0.10296262618592875,0.56,0.2608695652173913,0.4799999999999999,0.31229764223098755
8,000000161781.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000161781.jpg,"['The skier is happy to have won the race.', 'The skiier easily and skillfully jumps the small mogul.', 'A skier races down the track at a competition.', 'A person on skis standing behind a starting gate.', 'A person riding skis down a hill on a race course.', 'A skier getting ready to go out the gate.', 'A girl skis in a lot of snow. ', 'A young child is hopping from the slope on their skis.', 'A little boy riding skis down the side of a snow covered slope.', 'A person with green skis skiing down a big hill.']","[0.29126793146133423, 0.28303319215774536, 0.28112199902534485, 0.2771111726760864, 0.27386659383773804, 0.27309033274650574, 0.2716655731201172, 0.2707575261592865, 0.2689443826675415, 0.26862117648124695]","['000000273715.jpg', '000000164885.jpg', '000000421060.jpg', '000000447465.jpg', '000000161781.jpg', '000000447465.jpg', '000000493442.jpg', '000000342397.jpg', '000000451043.jpg', '000000005529.jpg']",0,1,1,A skier races down a snowy slope at a competition.,A skier races down a snowy slope at a competition.,"['A woman in gear skiing down a snowy slope', 'A woman in grey and green bodysuit skiing on a slope.', 'A person riding skis down a hill on a race course.', 'the lady is coming down the hill on her skies.', 'A woman is skiing down a hill with safety netting.']",0.2907153684841096,0.5263157894736842,0.35294117647058826,0.5263157894736842,0.2540808916091919
9,000000198915.jpg,/kaggle/input/datasets/saptarshim596/val2017-ms-coco/val2017/val2017/000000198915.jpg,"['This is an intersection sign between green lake drive and one other', 'A view of a sign that leads to Brooklyn and Queens.', 'A green street sign sitting on top of a pole.', 'A green road sign showing the Queens Bronx exit.', 'A green pole with street signs attached to it.', 'a green and white street sign some cars and buildings', 'The signs give the street names and show where to park.', 'A large wooden pole with a green street sign hanging from it.', 'A green street sign next to a dirt field by a playground.', 'two street signs one is green and white the other brown and white']","[0.36958208680152893, 0.32074493169784546, 0.3115393817424774, 0.31006866693496704, 0.3099318742752075, 0.3086247444152832, 0.30670633912086487, 0.3061503767967224, 0.3054589331150055, 0.3049813508987427]","['000000198915.jpg', '000000178982.jpg', '000000550939.jpg', '000000041488.jpg', '000000335800.jpg', '000000225532.jpg', '000000058636.jpg', '000000058636.jpg', '000000146498.jpg', '000000173183.jpg']",1,1,1,A green street sign is hanging from a pole at the intersection of E Green Lake Dr and Meridian.,A green street sign is hanging from a pole at the intersection of E Green Lake Dr and Meridian.,"['This is an intersection sign between green lake drive and one other', 'The two street name signs are protruding from a street pole.', 'A pole with two street signs attached, in front of some trees.', 'this is a streeet sign at an intersection', 'a close up of a street sign on a pole']",0.044353395455270214,0.41379310344827586,0.14814814814814814,0.3448275862068966,0.3912082016468048
